weekyear,Equipment Type,Container Size,Location,Export Units,Import Units,Imbalance
2022-05,Reefer,40,F,4384,1024,-3360
2022-05,Reefer,40,G,3424,2160,-1264
2022-06,Dry,20,A,65872,40160,-25712
2022-06,Dry,20,B,98336,110736,12400
2022-06,Dry,20,C,20848,39008,18160
2022-06,Dry,20,D,0,80,80
2022-06,Dry,20,E,18576,22768,4192
2022-06,Dry,20,F,7392,592,-6800
2022-06,Dry,20,G,63712,8496,-55216
2022-06,Dry,40,A,88864,60880,-27984
2022-06,Dry,40,B,120640,168016,47376
2022-06,Dry,40,C,21200,45888,24688
2022-06,Dry,40,D,784,256,-528
2022-06,Dry,40,E,32976,26464,-6512
2022-06,Dry,40,F,13152,2336,-10816
2022-06,Dry,40,G,23392,15984,-7408
2022-06,Reefer,20,A,576,32,-544
2022-06,Reefer,20,B,144,192,48
2022-06,Reefer,20,C,32,96,64
2022-06,Reefer,20,E,32,96,64
2022-06,Reefer,20,F,160,0,-160
2022-06,Reefer,20,G,192,16,-176
2022-06,Reefer,40,A,18608,4640,-13968
2022-06,Reefer,40,B,16960,16160,-800
2022-06,Reefer,40,C,3920,25536,21616
2022-06,Reefer,40,D,0,80,80
2022-06,Reefer,40,E,1392,752,-640
2022-06,Reefer,40,F,2272,192,-2080
2022-06,Reefer,40,G,9392,4032,-5360
2022-07,Dry,20,A,40976,30048,-10928
2022-07,Dry,20,B,125072,115552,-9520
2022-07,Dry,20,C,11472,14704,3232
2022-07,Dry,20,D,0,640,640
2022-07,Dry,20,E,11952,9136,-2816
2022-07,Dry,20,F,8272,6992,-1280
2022-07,Dry,20,G,41088,6512,-34576
2022-07,Dry,40,A,45840,57168,11328
2022-07,Dry,40,B,162128,147072,-15056
2022-07,Dry,40,C,19792,33184,13392
2022-07,Dry,40,D,640,144,-496
2022-07,Dry,40,E,18192,10928,-7264
2022-07,Dry,40,F,10688,15904,5216
2022-07,Dry,40,G,17344,15904,-1440
2022-07,Reefer,20,A,112,0,-112
2022-07,Reefer,20,B,112,224,112
2022-07,Reefer,20,C,128,0,-128
2022-07,Reefer,20,E,160,0,-160
2022-07,Reefer,20,F,16,16,0
2022-07,Reefer,20,G,48,0,-48
2022-07,Reefer,40,A,8752,3136,-5616
2022-07,Reefer,40,B,18912,20208,1296
2022-07,Reefer,40,C,6800,13824,7024
2022-07,Reefer,40,E,1264,1088,-176
2022-07,Reefer,40,F,1792,560,-1232
2022-07,Reefer,40,G,6608,960,-5648
2022-08,Dry,20,A,99312,41856,-57456
2022-08,Dry,20,B,88432,121648,33216
2022-08,Dry,20,C,22416,23728,1312
2022-08,Dry,20,D,0,16,16
2022-08,Dry,20,E,10768,17632,6864
2022-08,Dry,20,F,9088,3728,-5360
2022-08,Dry,20,G,44944,9008,-35936
2022-08,Dry,40,A,102032,60480,-41552
2022-08,Dry,40,B,97840,153872,56032
2022-08,Dry,40,C,24544,47824,23280
2022-08,Dry,40,D,0,32,32
2022-08,Dry,40,E,24624,17520,-7104
2022-08,Dry,40,F,25408,11360,-14048
2022-08,Dry,40,G,30016,16960,-13056
2022-08,Reefer,20,A,496,32,-464
2022-08,Reefer,20,B,432,160,-272
2022-08,Reefer,20,C,144,80,-64
2022-08,Reefer,20,E,128,32,-96
2022-08,Reefer,20,F,240,0,-240
2022-08,Reefer,20,G,48,16,-32
2022-08,Reefer,40,A,21536,2208,-19328
2022-08,Reefer,40,B,14032,11456,-2576
2022-08,Reefer,40,C,7024,10736,3712
2022-08,Reefer,40,E,880,1056,176
2022-08,Reefer,40,F,4960,1312,-3648
2022-08,Reefer,40,G,7104,3632,-3472
2022-09,Dry,20,A,63952,29264,-34688
2022-09,Dry,20,B,138080,129280,-8800
2022-09,Dry,20,C,16080,10640,-5440
2022-09,Dry,20,E,6480,18416,11936
2022-09,Dry,20,F,6960,5312,-1648
2022-09,Dry,20,G,64704,10480,-54224
2022-09,Dry,40,A,70384,46608,-23776
2022-09,Dry,40,B,164016,141840,-22176
2022-09,Dry,40,C,25312,39696,14384
2022-09,Dry,40,D,192,16,-176
2022-09,Dry,40,E,13712,25136,11424
2022-09,Dry,40,F,12800,13408,608
2022-09,Dry,40,G,21232,21648,416
2022-09,Reefer,20,A,448,16,-432
2022-09,Reefer,20,B,144,288,144
2022-09,Reefer,20,C,176,16,-160
2022-09,Reefer,20,E,32,16,-16
2022-09,Reefer,20,F,192,48,-144
2022-09,Reefer,20,G,80,0,-80
2022-09,Reefer,40,A,24368,5696,-18672
2022-09,Reefer,40,B,15824,19024,3200
2022-09,Reefer,40,C,9472,7440,-2032
2022-09,Reefer,40,E,112,576,464
2022-09,Reefer,40,F,2048,1696,-352
2022-09,Reefer,40,G,6816,3664,-3152
2022-10,Dry,20,A,70800,40256,-30544
2022-10,Dry,20,B,124720,106928,-17792
2022-10,Dry,20,C,23760,28848,5088
2022-10,Dry,20,D,0,624,624
2022-10,Dry,20,E,14048,24176,10128
2022-10,Dry,20,F,11536,6064,-5472
2022-10,Dry,20,G,38928,7424,-31504
2022-10,Dry,40,A,109936,64704,-45232
2022-10,Dry,40,B,140688,148816,8128
2022-10,Dry,40,C,29536,50992,21456
2022-10,Dry,40,D,368,0,-368
2022-10,Dry,40,E,28128,25072,-3056
2022-10,Dry,40,F,26832,16592,-10240
2022-10,Dry,40,G,28272,11904,-16368
2022-10,Reefer,20,A,400,0,-400
2022-10,Reefer,20,B,416,496,80
