Start Event Type,Start Event Description,Equipment Type,Unit Count,Date,Start Event Location Full
ELV,Export Loaded on Vessel,40DV,384,2022-01-03,C
ELV,Export Loaded on Vessel,40DV,80,2022-01-03,G
ELV,Export Loaded on Vessel,40HC,14880,2022-01-03,A
ELV,Export Loaded on Vessel,40HC,11440,2022-01-03,B
ELV,Export Loaded on Vessel,40HC,3632,2022-01-03,E
ELV,Export Loaded on Vessel,40HC,64,2022-01-03,D
ELV,Export Loaded on Vessel,40HC,2528,2022-01-03,F
ELV,Export Loaded on Vessel,40HC,2096,2022-01-03,C
ELV,Export Loaded on Vessel,40HC,1328,2022-01-03,G
ELV,Export Loaded on Vessel,40HR,1488,2022-01-03,A
ELV,Export Loaded on Vessel,40HR,3984,2022-01-03,B
ELV,Export Loaded on Vessel,40HR,496,2022-01-03,E
ELV,Export Loaded on Vessel,40HR,336,2022-01-03,F
ELV,Export Loaded on Vessel,40HR,160,2022-01-03,C
ELV,Export Loaded on Vessel,40HR,272,2022-01-03,G
IDV,Import Discharged from Vessel,20DV,7952,2022-01-03,A
IDV,Import Discharged from Vessel,20DV,16592,2022-01-03,B
IDV,Import Discharged from Vessel,20DV,976,2022-01-03,E
IDV,Import Discharged from Vessel,20DV,1296,2022-01-03,F
IDV,Import Discharged from Vessel,20DV,5392,2022-01-03,C
IDV,Import Discharged from Vessel,20DV,2144,2022-01-03,G
IDV,Import Discharged from Vessel,20RE,16,2022-01-03,B
IDV,Import Discharged from Vessel,40DV,192,2022-01-03,A
IDV,Import Discharged from Vessel,40DV,1408,2022-01-03,B
IDV,Import Discharged from Vessel,40DV,16,2022-01-03,E
IDV,Import Discharged from Vessel,40DV,176,2022-01-03,F
IDV,Import Discharged from Vessel,40DV,1056,2022-01-03,C
IDV,Import Discharged from Vessel,40HC,7280,2022-01-03,A
IDV,Import Discharged from Vessel,40HC,27776,2022-01-03,B
IDV,Import Discharged from Vessel,40HC,672,2022-01-03,E
IDV,Import Discharged from Vessel,40HC,1264,2022-01-03,F
IDV,Import Discharged from Vessel,40HC,5456,2022-01-03,C
IDV,Import Discharged from Vessel,40HC,176,2022-01-03,G
IDV,Import Discharged from Vessel,40HR,224,2022-01-03,A
IDV,Import Discharged from Vessel,40HR,1184,2022-01-03,B
IDV,Import Discharged from Vessel,40HR,32,2022-01-03,E
IDV,Import Discharged from Vessel,40HR,96,2022-01-03,F
IDV,Import Discharged from Vessel,40HR,2912,2022-01-03,C
IDV,Import Discharged from Vessel,40HR,16,2022-01-03,G
ELV,Export Loaded on Vessel,20DV,8336,2022-01-04,A
ELV,Export Loaded on Vessel,20DV,7840,2022-01-04,B
ELV,Export Loaded on Vessel,20DV,16,2022-01-04,E
ELV,Export Loaded on Vessel,20DV,3936,2022-01-04,F
ELV,Export Loaded on Vessel,20DV,384,2022-01-04,C
ELV,Export Loaded on Vessel,20DV,8256,2022-01-04,G
ELV,Export Loaded on Vessel,20RE,48,2022-01-04,A
ELV,Export Loaded on Vessel,20RE,384,2022-01-04,F
ELV,Export Loaded on Vessel,40DV,1216,2022-01-04,A
ELV,Export Loaded on Vessel,40DV,752,2022-01-04,B
ELV,Export Loaded on Vessel,40DV,16,2022-01-04,E
ELV,Export Loaded on Vessel,40DV,192,2022-01-04,F
ELV,Export Loaded on Vessel,40DV,80,2022-01-04,C
ELV,Export Loaded on Vessel,40DV,96,2022-01-04,G
ELV,Export Loaded on Vessel,40HC,12848,2022-01-04,A
ELV,Export Loaded on Vessel,40HC,10896,2022-01-04,B
ELV,Export Loaded on Vessel,40HC,224,2022-01-04,E
ELV,Export Loaded on Vessel,40HC,3856,2022-01-04,F
ELV,Export Loaded on Vessel,40HC,880,2022-01-04,C
ELV,Export Loaded on Vessel,40HC,3680,2022-01-04,G
ELV,Export Loaded on Vessel,40HR,4448,2022-01-04,A
ELV,Export Loaded on Vessel,40HR,1440,2022-01-04,B
