Start Event Type,Start Event Description,Equipment Type,Unit Count,Date,Start Event Location Full
IDV,Import Discharged from Vessel,40HC,1584,2022-08-11,E
IDV,Import Discharged from Vessel,40HC,256,2022-08-11,F
IDV,Import Discharged from Vessel,40HC,1392,2022-08-11,C
IDV,Import Discharged from Vessel,40HC,2688,2022-08-11,G
IDV,Import Discharged from Vessel,40HR,464,2022-08-11,A
IDV,Import Discharged from Vessel,40HR,2512,2022-08-11,B
IDV,Import Discharged from Vessel,40HR,128,2022-08-11,E
IDV,Import Discharged from Vessel,40HR,80,2022-08-11,F
IDV,Import Discharged from Vessel,40HR,3424,2022-08-11,C
IDV,Import Discharged from Vessel,40HR,304,2022-08-11,G
ELV,Export Loaded on Vessel,20DV,5456,2022-08-12,A
ELV,Export Loaded on Vessel,20DV,23056,2022-08-12,B
ELV,Export Loaded on Vessel,20DV,1792,2022-08-12,E
ELV,Export Loaded on Vessel,20DV,16,2022-08-12,D
ELV,Export Loaded on Vessel,20DV,1168,2022-08-12,F
ELV,Export Loaded on Vessel,20DV,432,2022-08-12,C
ELV,Export Loaded on Vessel,20DV,3328,2022-08-12,G
ELV,Export Loaded on Vessel,20RE,96,2022-08-12,A
ELV,Export Loaded on Vessel,20RE,16,2022-08-12,B
ELV,Export Loaded on Vessel,20RE,16,2022-08-12,E
ELV,Export Loaded on Vessel,40DV,1456,2022-08-12,A
ELV,Export Loaded on Vessel,40DV,1200,2022-08-12,B
ELV,Export Loaded on Vessel,40DV,160,2022-08-12,E
ELV,Export Loaded on Vessel,40DV,32,2022-08-12,F
ELV,Export Loaded on Vessel,40DV,144,2022-08-12,C
ELV,Export Loaded on Vessel,40DV,176,2022-08-12,G
ELV,Export Loaded on Vessel,40HC,13648,2022-08-12,A
ELV,Export Loaded on Vessel,40HC,27744,2022-08-12,B
ELV,Export Loaded on Vessel,40HC,2560,2022-08-12,E
ELV,Export Loaded on Vessel,40HC,64,2022-08-12,D
ELV,Export Loaded on Vessel,40HC,736,2022-08-12,F
ELV,Export Loaded on Vessel,40HC,256,2022-08-12,C
ELV,Export Loaded on Vessel,40HC,2400,2022-08-12,G
ELV,Export Loaded on Vessel,40HR,3728,2022-08-12,A
ELV,Export Loaded on Vessel,40HR,1680,2022-08-12,B
ELV,Export Loaded on Vessel,40HR,256,2022-08-12,E
ELV,Export Loaded on Vessel,40HR,192,2022-08-12,F
ELV,Export Loaded on Vessel,40HR,352,2022-08-12,C
ELV,Export Loaded on Vessel,40HR,1728,2022-08-12,G
IDV,Import Discharged from Vessel,20DV,2832,2022-08-12,A
IDV,Import Discharged from Vessel,20DV,7568,2022-08-12,B
IDV,Import Discharged from Vessel,20DV,2448,2022-08-12,E
IDV,Import Discharged from Vessel,20DV,336,2022-08-12,D
IDV,Import Discharged from Vessel,20DV,80,2022-08-12,F
IDV,Import Discharged from Vessel,20DV,192,2022-08-12,C
IDV,Import Discharged from Vessel,20DV,1712,2022-08-12,G
IDV,Import Discharged from Vessel,40DV,640,2022-08-12,A
IDV,Import Discharged from Vessel,40DV,176,2022-08-12,B
IDV,Import Discharged from Vessel,40DV,96,2022-08-12,E
IDV,Import Discharged from Vessel,40DV,224,2022-08-12,G
IDV,Import Discharged from Vessel,40HC,9936,2022-08-12,A
IDV,Import Discharged from Vessel,40HC,7040,2022-08-12,B
IDV,Import Discharged from Vessel,40HC,2960,2022-08-12,E
IDV,Import Discharged from Vessel,40HC,224,2022-08-12,D
IDV,Import Discharged from Vessel,40HC,768,2022-08-12,C
IDV,Import Discharged from Vessel,40HC,8032,2022-08-12,G
IDV,Import Discharged from Vessel,40HR,192,2022-08-12,A
IDV,Import Discharged from Vessel,40HR,208,2022-08-12,B
IDV,Import Discharged from Vessel,40HR,1200,2022-08-12,E
IDV,Import Discharged from Vessel,40HR,176,2022-08-12,G
ELV,Export Loaded on Vessel,20DV,6880,2022-08-13,A
ELV,Export Loaded on Vessel,20DV,6640,2022-08-13,B
ELV,Export Loaded on Vessel,20DV,1712,2022-08-13,E
ELV,Export Loaded on Vessel,20DV,1984,2022-08-13,F
ELV,Export Loaded on Vessel,20DV,560,2022-08-13,C
ELV,Export Loaded on Vessel,20DV,10432,2022-08-13,G
ELV,Export Loaded on Vessel,20RE,48,2022-08-13,A
ELV,Export Loaded on Vessel,20RE,32,2022-08-13,B
ELV,Export Loaded on Vessel,20RE,16,2022-08-13,F
ELV,Export Loaded on Vessel,20RE,16,2022-08-13,C
ELV,Export Loaded on Vessel,20RE,48,2022-08-13,G
ELV,Export Loaded on Vessel,40DV,768,2022-08-13,A
ELV,Export Loaded on Vessel,40DV,400,2022-08-13,B
ELV,Export Loaded on Vessel,40DV,64,2022-08-13,E
ELV,Export Loaded on Vessel,40DV,64,2022-08-13,F
ELV,Export Loaded on Vessel,40DV,512,2022-08-13,C
ELV,Export Loaded on Vessel,40DV,16,2022-08-13,G
ELV,Export Loaded on Vessel,40HC,7456,2022-08-13,A
ELV,Export Loaded on Vessel,40HC,11808,2022-08-13,B
ELV,Export Loaded on Vessel,40HC,1616,2022-08-13,E
ELV,Export Loaded on Vessel,40HC,16,2022-08-13,D
ELV,Export Loaded on Vessel,40HC,1808,2022-08-13,F
ELV,Export Loaded on Vessel,40HC,3312,2022-08-13,C
ELV,Export Loaded on Vessel,40HC,2176,2022-08-13,G
ELV,Export Loaded on Vessel,40HR,1808,2022-08-13,A
ELV,Export Loaded on Vessel,40HR,688,2022-08-13,B
ELV,Export Loaded on Vessel,40HR,16,2022-08-13,E
ELV,Export Loaded on Vessel,40HR,96,2022-08-13,F
ELV,Export Loaded on Vessel,40HR,224,2022-08-13,C
ELV,Export Loaded on Vessel,40HR,2224,2022-08-13,G
IDV,Import Discharged from Vessel,20DV,2896,2022-08-13,A
IDV,Import Discharged from Vessel,20DV,10736,2022-08-13,B
IDV,Import Discharged from Vessel,20DV,1984,2022-08-13,E
IDV,Import Discharged from Vessel,20DV,1920,2022-08-13,F
IDV,Import Discharged from Vessel,20DV,4944,2022-08-13,C
IDV,Import Discharged from Vessel,20DV,3968,2022-08-13,G
IDV,Import Discharged from Vessel,20RE,32,2022-08-13,B
IDV,Import Discharged from Vessel,20RE,32,2022-08-13,F
IDV,Import Discharged from Vessel,20RE,16,2022-08-13,G
IDV,Import Discharged from Vessel,40DV,544,2022-08-13,A
IDV,Import Discharged from Vessel,40DV,2176,2022-08-13,B
IDV,Import Discharged from Vessel,40DV,80,2022-08-13,E
IDV,Import Discharged from Vessel,40DV,304,2022-08-13,F
IDV,Import Discharged from Vessel,40DV,1120,2022-08-13,C
IDV,Import Discharged from Vessel,40DV,832,2022-08-13,G
IDV,Import Discharged from Vessel,40HC,3872,2022-08-13,A
IDV,Import Discharged from Vessel,40HC,19856,2022-08-13,B
IDV,Import Discharged from Vessel,40HC,6320,2022-08-13,E
IDV,Import Discharged from Vessel,40HC,3360,2022-08-13,F
IDV,Import Discharged from Vessel,40HC,9856,2022-08-13,C
IDV,Import Discharged from Vessel,40HC,6000,2022-08-13,G
IDV,Import Discharged from Vessel,40HR,400,2022-08-13,A
IDV,Import Discharged from Vessel,40HR,1584,2022-08-13,B
IDV,Import Discharged from Vessel,40HR,1184,2022-08-13,F
IDV,Import Discharged from Vessel,40HR,752,2022-08-13,C
IDV,Import Discharged from Vessel,40HR,96,2022-08-13,G
ELV,Export Loaded on Vessel,20DV,5584,2022-08-14,A
ELV,Export Loaded on Vessel,20DV,14256,2022-08-14,B
ELV,Export Loaded on Vessel,20DV,2144,2022-08-14,E
ELV,Export Loaded on Vessel,20DV,2448,2022-08-14,F
ELV,Export Loaded on Vessel,20DV,2208,2022-08-14,C
ELV,Export Loaded on Vessel,20DV,8752,2022-08-14,G
ELV,Export Loaded on Vessel,20RE,192,2022-08-14,B
ELV,Export Loaded on Vessel,20RE,16,2022-08-14,E
ELV,Export Loaded on Vessel,20RE,288,2022-08-14,F
ELV,Export Loaded on Vessel,40DV,800,2022-08-14,A
ELV,Export Loaded on Vessel,40DV,480,2022-08-14,B
ELV,Export Loaded on Vessel,40DV,240,2022-08-14,E
ELV,Export Loaded on Vessel,40DV,384,2022-08-14,F
ELV,Export Loaded on Vessel,40DV,368,2022-08-14,C
ELV,Export Loaded on Vessel,40DV,160,2022-08-14,G
ELV,Export Loaded on Vessel,40HC,6768,2022-08-14,A
ELV,Export Loaded on Vessel,40HC,8720,2022-08-14,B
ELV,Export Loaded on Vessel,40HC,3360,2022-08-14,E
ELV,Export Loaded on Vessel,40HC,5376,2022-08-14,F
ELV,Export Loaded on Vessel,40HC,4000,2022-08-14,C
ELV,Export Loaded on Vessel,40HC,1888,2022-08-14,G
ELV,Export Loaded on Vessel,40HR,1552,2022-08-14,A
ELV,Export Loaded on Vessel,40HR,144,2022-08-14,B
ELV,Export Loaded on Vessel,40HR,16,2022-08-14,E
ELV,Export Loaded on Vessel,40HR,1344,2022-08-14,F
ELV,Export Loaded on Vessel,40HR,816,2022-08-14,C
ELV,Export Loaded on Vessel,40HR,96,2022-08-14,G
IDV,Import Discharged from Vessel,20DV,4544,2022-08-14,A
IDV,Import Discharged from Vessel,20DV,29408,2022-08-14,B
IDV,Import Discharged from Vessel,20DV,3184,2022-08-14,E
IDV,Import Discharged from Vessel,20DV,448,2022-08-14,F
IDV,Import Discharged from Vessel,20DV,8016,2022-08-14,C
IDV,Import Discharged from Vessel,20DV,2832,2022-08-14,G
IDV,Import Discharged from Vessel,20RE,400,2022-08-14,B
IDV,Import Discharged from Vessel,20RE,128,2022-08-14,E
IDV,Import Discharged from Vessel,20RE,16,2022-08-14,C
IDV,Import Discharged from Vessel,40DV,1872,2022-08-14,A
IDV,Import Discharged from Vessel,40DV,1392,2022-08-14,B
IDV,Import Discharged from Vessel,40DV,16,2022-08-14,E
IDV,Import Discharged from Vessel,40DV,160,2022-08-14,F
IDV,Import Discharged from Vessel,40DV,1088,2022-08-14,C
IDV,Import Discharged from Vessel,40DV,32,2022-08-14,G
IDV,Import Discharged from Vessel,40HC,6720,2022-08-14,A
IDV,Import Discharged from Vessel,40HC,28160,2022-08-14,B
IDV,Import Discharged from Vessel,40HC,4688,2022-08-14,E
IDV,Import Discharged from Vessel,40HC,912,2022-08-14,F
IDV,Import Discharged from Vessel,40HC,7840,2022-08-14,C
IDV,Import Discharged from Vessel,40HC,2016,2022-08-14,G
IDV,Import Discharged from Vessel,40HR,1104,2022-08-14,A
IDV,Import Discharged from Vessel,40HR,912,2022-08-14,B
IDV,Import Discharged from Vessel,40HR,416,2022-08-14,E
IDV,Import Discharged from Vessel,40HR,16,2022-08-14,F
IDV,Import Discharged from Vessel,40HR,720,2022-08-14,C
IDV,Import Discharged from Vessel,40HR,48,2022-08-14,G
ELV,Export Loaded on Vessel,20DV,7584,2022-08-15,A
ELV,Export Loaded on Vessel,20DV,17712,2022-08-15,B
ELV,Export Loaded on Vessel,20DV,1216,2022-08-15,E
ELV,Export Loaded on Vessel,20DV,464,2022-08-15,F
ELV,Export Loaded on Vessel,20DV,912,2022-08-15,C
ELV,Export Loaded on Vessel,20DV,928,2022-08-15,G
ELV,Export Loaded on Vessel,20RE,128,2022-08-15,A
ELV,Export Loaded on Vessel,20RE,176,2022-08-15,B
ELV,Export Loaded on Vessel,20RE,48,2022-08-15,F
ELV,Export Loaded on Vessel,40DV,512,2022-08-15,A
ELV,Export Loaded on Vessel,40DV,1552,2022-08-15,B
ELV,Export Loaded on Vessel,40DV,240,2022-08-15,E
ELV,Export Loaded on Vessel,40DV,272,2022-08-15,F
ELV,Export Loaded on Vessel,40DV,608,2022-08-15,C
ELV,Export Loaded on Vessel,40HC,3920,2022-08-15,A
ELV,Export Loaded on Vessel,40HC,20880,2022-08-15,B
ELV,Export Loaded on Vessel,40HC,3760,2022-08-15,E
ELV,Export Loaded on Vessel,40HC,6032,2022-08-15,F
ELV,Export Loaded on Vessel,40HC,4544,2022-08-15,C
ELV,Export Loaded on Vessel,40HC,192,2022-08-15,G
ELV,Export Loaded on Vessel,40HR,496,2022-08-15,A
ELV,Export Loaded on Vessel,40HR,2208,2022-08-15,B
ELV,Export Loaded on Vessel,40HR,80,2022-08-15,F
ELV,Export Loaded on Vessel,40HR,432,2022-08-15,C
IDV,Import Discharged from Vessel,20DV,3488,2022-08-15,A
IDV,Import Discharged from Vessel,20DV,16592,2022-08-15,B
IDV,Import Discharged from Vessel,20DV,6400,2022-08-15,E
IDV,Import Discharged from Vessel,20DV,240,2022-08-15,F
IDV,Import Discharged from Vessel,20DV,2064,2022-08-15,C
IDV,Import Discharged from Vessel,20DV,1136,2022-08-15,G
IDV,Import Discharged from Vessel,20RE,48,2022-08-15,B
IDV,Import Discharged from Vessel,20RE,16,2022-08-15,E
IDV,Import Discharged from Vessel,20RE,32,2022-08-15,C
IDV,Import Discharged from Vessel,40DV,256,2022-08-15,A
IDV,Import Discharged from Vessel,40DV,1600,2022-08-15,B
IDV,Import Discharged from Vessel,40DV,1568,2022-08-15,E
IDV,Import Discharged from Vessel,40DV,16,2022-08-15,F
IDV,Import Discharged from Vessel,40DV,448,2022-08-15,C
IDV,Import Discharged from Vessel,40DV,112,2022-08-15,G
IDV,Import Discharged from Vessel,40HC,9328,2022-08-15,A
IDV,Import Discharged from Vessel,40HC,18592,2022-08-15,B
IDV,Import Discharged from Vessel,40HC,6160,2022-08-15,E
IDV,Import Discharged from Vessel,40HC,48,2022-08-15,F
IDV,Import Discharged from Vessel,40HC,2336,2022-08-15,C
IDV,Import Discharged from Vessel,40HC,3120,2022-08-15,G
IDV,Import Discharged from Vessel,40HR,288,2022-08-15,A
IDV,Import Discharged from Vessel,40HR,1552,2022-08-15,B
IDV,Import Discharged from Vessel,40HR,464,2022-08-15,E
IDV,Import Discharged from Vessel,40HR,32,2022-08-15,F
IDV,Import Discharged from Vessel,40HR,32,2022-08-15,C
IDV,Import Discharged from Vessel,40HR,256,2022-08-15,G
ELV,Export Loaded on Vessel,20DV,8528,2022-08-16,A
ELV,Export Loaded on Vessel,20DV,17616,2022-08-16,B
ELV,Export Loaded on Vessel,20DV,784,2022-08-16,E
ELV,Export Loaded on Vessel,20DV,752,2022-08-16,F
ELV,Export Loaded on Vessel,20DV,1392,2022-08-16,C
ELV,Export Loaded on Vessel,20DV,7664,2022-08-16,G
ELV,Export Loaded on Vessel,20RE,64,2022-08-16,B
ELV,Export Loaded on Vessel,20RE,32,2022-08-16,F
ELV,Export Loaded on Vessel,20RE,16,2022-08-16,G
ELV,Export Loaded on Vessel,40DV,2032,2022-08-16,A
ELV,Export Loaded on Vessel,40DV,992,2022-08-16,B
ELV,Export Loaded on Vessel,40DV,112,2022-08-16,F
ELV,Export Loaded on Vessel,40DV,96,2022-08-16,C
ELV,Export Loaded on Vessel,40DV,192,2022-08-16,G
ELV,Export Loaded on Vessel,40HC,17712,2022-08-16,A
ELV,Export Loaded on Vessel,40HC,12992,2022-08-16,B
ELV,Export Loaded on Vessel,40HC,656,2022-08-16,E
ELV,Export Loaded on Vessel,40HC,1104,2022-08-16,F
ELV,Export Loaded on Vessel,40HC,2304,2022-08-16,C
ELV,Export Loaded on Vessel,40HC,3680,2022-08-16,G
ELV,Export Loaded on Vessel,40HR,4272,2022-08-16,A
ELV,Export Loaded on Vessel,40HR,2192,2022-08-16,B
ELV,Export Loaded on Vessel,40HR,128,2022-08-16,F
ELV,Export Loaded on Vessel,40HR,80,2022-08-16,C
ELV,Export Loaded on Vessel,40HR,640,2022-08-16,G
IDV,Import Discharged from Vessel,20DV,6688,2022-08-16,A
IDV,Import Discharged from Vessel,20DV,16096,2022-08-16,B
IDV,Import Discharged from Vessel,20DV,2784,2022-08-16,E
IDV,Import Discharged from Vessel,20DV,1792,2022-08-16,F
IDV,Import Discharged from Vessel,20DV,320,2022-08-16,C
IDV,Import Discharged from Vessel,20DV,480,2022-08-16,G
IDV,Import Discharged from Vessel,20RE,176,2022-08-16,B
IDV,Import Discharged from Vessel,40DV,1568,2022-08-16,A
IDV,Import Discharged from Vessel,40DV,1024,2022-08-16,B
IDV,Import Discharged from Vessel,40DV,64,2022-08-16,F
IDV,Import Discharged from Vessel,40DV,656,2022-08-16,C
IDV,Import Discharged from Vessel,40DV,16,2022-08-16,G
IDV,Import Discharged from Vessel,40HC,11344,2022-08-16,A
IDV,Import Discharged from Vessel,40HC,23024,2022-08-16,B
IDV,Import Discharged from Vessel,40HC,2688,2022-08-16,E
IDV,Import Discharged from Vessel,40HC,5824,2022-08-16,F
IDV,Import Discharged from Vessel,40HC,4416,2022-08-16,C
IDV,Import Discharged from Vessel,40HC,480,2022-08-16,G
IDV,Import Discharged from Vessel,40HR,384,2022-08-16,A
IDV,Import Discharged from Vessel,40HR,1968,2022-08-16,B
IDV,Import Discharged from Vessel,40HR,272,2022-08-16,F
IDV,Import Discharged from Vessel,40HR,880,2022-08-16,C
IDV,Import Discharged from Vessel,40HR,48,2022-08-16,G
ELV,Export Loaded on Vessel,20DV,7600,2022-08-17,A
ELV,Export Loaded on Vessel,20DV,12240,2022-08-17,B
ELV,Export Loaded on Vessel,20DV,144,2022-08-17,E
ELV,Export Loaded on Vessel,20DV,1152,2022-08-17,F
ELV,Export Loaded on Vessel,20DV,4640,2022-08-17,C
ELV,Export Loaded on Vessel,20DV,2288,2022-08-17,G
ELV,Export Loaded on Vessel,20RE,32,2022-08-17,A
ELV,Export Loaded on Vessel,20RE,16,2022-08-17,B
ELV,Export Loaded on Vessel,20RE,32,2022-08-17,F
ELV,Export Loaded on Vessel,40DV,1600,2022-08-17,A
ELV,Export Loaded on Vessel,40DV,624,2022-08-17,B
ELV,Export Loaded on Vessel,40DV,96,2022-08-17,E
ELV,Export Loaded on Vessel,40DV,272,2022-08-17,F
ELV,Export Loaded on Vessel,40DV,480,2022-08-17,C
ELV,Export Loaded on Vessel,40DV,240,2022-08-17,G
ELV,Export Loaded on Vessel,40HC,17760,2022-08-17,A
ELV,Export Loaded on Vessel,40HC,9152,2022-08-17,B
ELV,Export Loaded on Vessel,40HC,2400,2022-08-17,F
ELV,Export Loaded on Vessel,40HC,3776,2022-08-17,C
ELV,Export Loaded on Vessel,40HC,2752,2022-08-17,G
ELV,Export Loaded on Vessel,40HR,3264,2022-08-17,A
ELV,Export Loaded on Vessel,40HR,496,2022-08-17,B
ELV,Export Loaded on Vessel,40HR,256,2022-08-17,F
ELV,Export Loaded on Vessel,40HR,928,2022-08-17,C
ELV,Export Loaded on Vessel,40HR,1072,2022-08-17,G
IDV,Import Discharged from Vessel,20DV,4640,2022-08-17,A
IDV,Import Discharged from Vessel,20DV,16096,2022-08-17,B
IDV,Import Discharged from Vessel,20DV,4592,2022-08-17,E
IDV,Import Discharged from Vessel,20DV,272,2022-08-17,F
IDV,Import Discharged from Vessel,20DV,4784,2022-08-17,C
IDV,Import Discharged from Vessel,20DV,3232,2022-08-17,G
IDV,Import Discharged from Vessel,20RE,288,2022-08-17,B
IDV,Import Discharged from Vessel,20RE,16,2022-08-17,F
IDV,Import Discharged from Vessel,20RE,64,2022-08-17,C
IDV,Import Discharged from Vessel,40DV,592,2022-08-17,A
IDV,Import Discharged from Vessel,40DV,1184,2022-08-17,B
IDV,Import Discharged from Vessel,40DV,96,2022-08-17,E
IDV,Import Discharged from Vessel,40DV,1712,2022-08-17,C
IDV,Import Discharged from Vessel,40DV,368,2022-08-17,G
IDV,Import Discharged from Vessel,40HC,8112,2022-08-17,A
IDV,Import Discharged from Vessel,40HC,21584,2022-08-17,B
IDV,Import Discharged from Vessel,40HC,1696,2022-08-17,E
IDV,Import Discharged from Vessel,40HC,416,2022-08-17,F
IDV,Import Discharged from Vessel,40HC,7600,2022-08-17,C
IDV,Import Discharged from Vessel,40HC,4688,2022-08-17,G
IDV,Import Discharged from Vessel,40HR,400,2022-08-17,A
IDV,Import Discharged from Vessel,40HR,9360,2022-08-17,B
IDV,Import Discharged from Vessel,40HR,96,2022-08-17,E
IDV,Import Discharged from Vessel,40HR,32,2022-08-17,F
IDV,Import Discharged from Vessel,40HR,2144,2022-08-17,C
IDV,Import Discharged from Vessel,40HR,192,2022-08-17,G
ELV,Export Loaded on Vessel,20DV,16560,2022-08-18,A
ELV,Export Loaded on Vessel,20DV,10224,2022-08-18,B
ELV,Export Loaded on Vessel,20DV,4752,2022-08-18,E
ELV,Export Loaded on Vessel,20DV,224,2022-08-18,F
ELV,Export Loaded on Vessel,20DV,4528,2022-08-18,C
ELV,Export Loaded on Vessel,20DV,10304,2022-08-18,G
ELV,Export Loaded on Vessel,20RE,96,2022-08-18,A
ELV,Export Loaded on Vessel,20RE,32,2022-08-18,E
ELV,Export Loaded on Vessel,20RE,64,2022-08-18,C
ELV,Export Loaded on Vessel,40DV,720,2022-08-18,A
ELV,Export Loaded on Vessel,40DV,1664,2022-08-18,B
ELV,Export Loaded on Vessel,40DV,976,2022-08-18,E
ELV,Export Loaded on Vessel,40DV,320,2022-08-18,F
ELV,Export Loaded on Vessel,40DV,768,2022-08-18,C
ELV,Export Loaded on Vessel,40DV,192,2022-08-18,G
ELV,Export Loaded on Vessel,40HC,10000,2022-08-18,A
ELV,Export Loaded on Vessel,40HC,16368,2022-08-18,B
ELV,Export Loaded on Vessel,40HC,6800,2022-08-18,E
ELV,Export Loaded on Vessel,40HC,1824,2022-08-18,F
ELV,Export Loaded on Vessel,40HC,5664,2022-08-18,C
ELV,Export Loaded on Vessel,40HC,1984,2022-08-18,G
ELV,Export Loaded on Vessel,40HR,3056,2022-08-18,A
ELV,Export Loaded on Vessel,40HR,672,2022-08-18,B
ELV,Export Loaded on Vessel,40HR,608,2022-08-18,E
ELV,Export Loaded on Vessel,40HR,544,2022-08-18,F
ELV,Export Loaded on Vessel,40HR,1792,2022-08-18,C
ELV,Export Loaded on Vessel,40HR,224,2022-08-18,G
IDV,Import Discharged from Vessel,20DV,12320,2022-08-18,A
IDV,Import Discharged from Vessel,20DV,16000,2022-08-18,B
IDV,Import Discharged from Vessel,20DV,6432,2022-08-18,E
IDV,Import Discharged from Vessel,20DV,800,2022-08-18,F
IDV,Import Discharged from Vessel,20DV,4976,2022-08-18,C
IDV,Import Discharged from Vessel,20DV,2320,2022-08-18,G
IDV,Import Discharged from Vessel,20RE,48,2022-08-18,B
IDV,Import Discharged from Vessel,20RE,32,2022-08-18,G
IDV,Import Discharged from Vessel,40DV,384,2022-08-18,A
IDV,Import Discharged from Vessel,40DV,1680,2022-08-18,B
IDV,Import Discharged from Vessel,40DV,176,2022-08-18,E
IDV,Import Discharged from Vessel,40DV,256,2022-08-18,F
IDV,Import Discharged from Vessel,40DV,2272,2022-08-18,C
IDV,Import Discharged from Vessel,40DV,272,2022-08-18,G
IDV,Import Discharged from Vessel,40HC,10704,2022-08-18,A
IDV,Import Discharged from Vessel,40HC,20752,2022-08-18,B
IDV,Import Discharged from Vessel,40HC,6416,2022-08-18,E
IDV,Import Discharged from Vessel,40HC,2480,2022-08-18,F
IDV,Import Discharged from Vessel,40HC,5776,2022-08-18,C
IDV,Import Discharged from Vessel,40HC,5232,2022-08-18,G
IDV,Import Discharged from Vessel,40HR,288,2022-08-18,A
IDV,Import Discharged from Vessel,40HR,6624,2022-08-18,B
IDV,Import Discharged from Vessel,40HR,240,2022-08-18,E
IDV,Import Discharged from Vessel,40HR,448,2022-08-18,F
IDV,Import Discharged from Vessel,40HR,1264,2022-08-18,C
IDV,Import Discharged from Vessel,40HR,128,2022-08-18,G
ELV,Export Loaded on Vessel,20DV,7024,2022-08-19,A
ELV,Export Loaded on Vessel,20DV,10560,2022-08-19,B
ELV,Export Loaded on Vessel,20DV,1728,2022-08-19,E
ELV,Export Loaded on Vessel,20DV,1312,2022-08-19,F
ELV,Export Loaded on Vessel,20DV,1648,2022-08-19,C
ELV,Export Loaded on Vessel,20DV,2224,2022-08-19,G
ELV,Export Loaded on Vessel,20RE,80,2022-08-19,B
ELV,Export Loaded on Vessel,20RE,32,2022-08-19,C
ELV,Export Loaded on Vessel,40DV,704,2022-08-19,A
ELV,Export Loaded on Vessel,40DV,2096,2022-08-19,B
ELV,Export Loaded on Vessel,40DV,160,2022-08-19,E
ELV,Export Loaded on Vessel,40DV,240,2022-08-19,F
ELV,Export Loaded on Vessel,40DV,144,2022-08-19,C
ELV,Export Loaded on Vessel,40DV,240,2022-08-19,G
ELV,Export Loaded on Vessel,40HC,11056,2022-08-19,A
ELV,Export Loaded on Vessel,40HC,19568,2022-08-19,B
ELV,Export Loaded on Vessel,40HC,2272,2022-08-19,E
ELV,Export Loaded on Vessel,40HC,176,2022-08-19,D
ELV,Export Loaded on Vessel,40HC,2608,2022-08-19,F
ELV,Export Loaded on Vessel,40HC,1456,2022-08-19,C
ELV,Export Loaded on Vessel,40HC,4192,2022-08-19,G
ELV,Export Loaded on Vessel,40HR,1936,2022-08-19,A
ELV,Export Loaded on Vessel,40HR,4336,2022-08-19,B
ELV,Export Loaded on Vessel,40HR,288,2022-08-19,F
ELV,Export Loaded on Vessel,40HR,496,2022-08-19,C
ELV,Export Loaded on Vessel,40HR,2576,2022-08-19,G
IDV,Import Discharged from Vessel,20DV,4288,2022-08-19,A
IDV,Import Discharged from Vessel,20DV,19120,2022-08-19,B
IDV,Import Discharged from Vessel,20DV,432,2022-08-19,E
IDV,Import Discharged from Vessel,20DV,16,2022-08-19,D
IDV,Import Discharged from Vessel,20DV,736,2022-08-19,F
IDV,Import Discharged from Vessel,20DV,448,2022-08-19,G
IDV,Import Discharged from Vessel,20RE,16,2022-08-19,B
IDV,Import Discharged from Vessel,40DV,304,2022-08-19,A
IDV,Import Discharged from Vessel,40DV,1296,2022-08-19,B
IDV,Import Discharged from Vessel,40DV,608,2022-08-19,E
IDV,Import Discharged from Vessel,40DV,144,2022-08-19,F
IDV,Import Discharged from Vessel,40DV,32,2022-08-19,G
IDV,Import Discharged from Vessel,40HC,7120,2022-08-19,A
IDV,Import Discharged from Vessel,40HC,19856,2022-08-19,B
IDV,Import Discharged from Vessel,40HC,3616,2022-08-19,E
IDV,Import Discharged from Vessel,40HC,416,2022-08-19,F
IDV,Import Discharged from Vessel,40HC,1184,2022-08-19,G
IDV,Import Discharged from Vessel,40HR,32,2022-08-19,A
IDV,Import Discharged from Vessel,40HR,4048,2022-08-19,B
IDV,Import Discharged from Vessel,40HR,16,2022-08-19,F
IDV,Import Discharged from Vessel,40HR,32,2022-08-19,G
ELV,Export Loaded on Vessel,20DV,4624,2022-08-20,A
ELV,Export Loaded on Vessel,20DV,11312,2022-08-20,B
ELV,Export Loaded on Vessel,20DV,1952,2022-08-20,E
ELV,Export Loaded on Vessel,20DV,64,2022-08-20,F
ELV,Export Loaded on Vessel,20DV,192,2022-08-20,C
ELV,Export Loaded on Vessel,20DV,7328,2022-08-20,G
ELV,Export Loaded on Vessel,20RE,16,2022-08-20,A
ELV,Export Loaded on Vessel,20RE,80,2022-08-20,B
ELV,Export Loaded on Vessel,20RE,32,2022-08-20,E
ELV,Export Loaded on Vessel,20RE,32,2022-08-20,F
ELV,Export Loaded on Vessel,40DV,624,2022-08-20,A
ELV,Export Loaded on Vessel,40DV,1168,2022-08-20,B
ELV,Export Loaded on Vessel,40DV,48,2022-08-20,E
ELV,Export Loaded on Vessel,40DV,208,2022-08-20,G
ELV,Export Loaded on Vessel,40HC,4240,2022-08-20,A
ELV,Export Loaded on Vessel,40HC,22848,2022-08-20,B
ELV,Export Loaded on Vessel,40HC,4064,2022-08-20,E
ELV,Export Loaded on Vessel,40HC,192,2022-08-20,D
ELV,Export Loaded on Vessel,40HC,480,2022-08-20,F
ELV,Export Loaded on Vessel,40HC,1168,2022-08-20,C
ELV,Export Loaded on Vessel,40HC,2336,2022-08-20,G
ELV,Export Loaded on Vessel,40HR,592,2022-08-20,A
ELV,Export Loaded on Vessel,40HR,3920,2022-08-20,B
